都道府県名,西暦（年）,人口（総数）
福井県,1940.0,643904
山梨県,1940.0,663026
長野県,1940.0,1710729
岐阜県,1940.0,1265024
静岡県,1940.0,2017860
愛知県,1940.0,3166592
三重県,1940.0,1198783
滋賀県,1940.0,703679
京都府,1940.0,1729993
大阪府,1940.0,4792966
兵庫県,1940.0,3221232
奈良県,1940.0,620509
和歌山県,1940.0,865074
鳥取県,1940.0,484390
島根県,1940.0,740940
岡山県,1940.0,1329358
広島県,1940.0,1869504
山口県,1940.0,1294242
徳島県,1940.0,718717
香川県,1940.0,730394
愛媛県,1940.0,1178705
高知県,1940.0,709286
福岡県,1940.0,3094132
佐賀県,1940.0,701517
長崎県,1940.0,1370063
熊本県,1940.0,1368179
大分県,1940.0,972975
宮崎県,1940.0,840357
鹿児島県,1940.0,1589467
沖縄県,1940.0,574579
北海道,1945.0,3518389
青森県,1945.0,1083250
岩手県,1945.0,1227789
宮城県,1945.0,1462254
秋田県,1945.0,1211871
山形県,1945.0,1326350
福島県,1945.0,1957356
茨城県,1945.0,1944344
栃木県,1945.0,1546355
群馬県,1945.0,1546081
埼玉県,1945.0,2047261
千葉県,1945.0,1966862
東京都,1945.0,3488284
神奈川県,1945.0,1865667
新潟県,1945.0,2389653
富山県,1945.0,953834
石川県,1945.0,887510
福井県,1945.0,724856
山梨県,1945.0,839057
長野県,1945.0,2121050
岐阜県,1945.0,1518649
静岡県,1945.0,2220358
愛知県,1945.0,2857851
三重県,1945.0,1394286
滋賀県,1945.0,860911
京都府,1945.0,1603796
大阪府,1945.0,2800958
兵庫県,1945.0,2821892
奈良県,1945.0,779685
和歌山県,1945.0,936006
鳥取県,1945.0,563220
島根県,1945.0,860275
岡山県,1945.0,1564626
広島県,1945.0,1885471
山口県,1945.0,1356491
徳島県,1945.0,835763
香川県,1945.0,863700
愛媛県,1945.0,1361484
高知県,1945.0,775578
福岡県,1945.0,2746855
佐賀県,1945.0,830431
長崎県,1945.0,1318589
熊本県,1945.0,1556490
大分県,1945.0,1124513
宮崎県,1945.0,913687
鹿児島県,1945.0,1538466
北海道,1950.0,4295567
青森県,1950.0,1282867
岩手県,1950.0,1346728
宮城県,1950.0,1663442
秋田県,1950.0,1309031
山形県,1950.0,1357347
福島県,1950.0,2062394
茨城県,1950.0,2039418
栃木県,1950.0,1550462
群馬県,1950.0,1601380
埼玉県,1950.0,2146445
千葉県,1950.0,2139037
東京都,1950.0,6277500
神奈川県,1950.0,2487665
新潟県,1950.0,2460997
富山県,1950.0,1008790
石川県,1950.0,957279
福井県,1950.0,752374
山梨県,1950.0,811369
長野県,1950.0,2060831
岐阜県,1950.0,1544538
静岡県,1950.0,2471472
愛知県,1950.0,3390585
三重県,1950.0,1461197
滋賀県,1950.0,861180
京都府,1950.0,1832934
大阪府,1950.0,3857047
兵庫県,1950.0,3309935
奈良県,1950.0,763883
和歌山県,1950.0,982113
鳥取県,1950.0,600177
島根県,1950.0,912551
岡山県,1950.0,1661099
広島県,1950.0,2081967
山口県,1950.0,1540882
徳島県,1950.0,878511
香川県,1950.0,946022
愛媛県,1950.0,1521878
高知県,1950.0,873874
福岡県,1950.0,3530169
佐賀県,1950.0,945082
長崎県,1950.0,1645492
熊本県,1950.0,1827582
大分県,1950.0,1252999
宮崎県,1950.0,1091427
鹿児島県,1950.0,1804118
沖縄県,1950.0,914937
北海道,1955.0,4773087
青森県,1955.0,1382523
岩手県,1955.0,1427097
宮城県,1955.0,1727065
秋田県,1955.0,1348871
山形県,1955.0,1353649
福島県,1955.0,2095237
茨城県,1955.0,2064037
栃木県,1955.0,1547580
群馬県,1955.0,1613549
埼玉県,1955.0,2262623
千葉県,1955.0,2205060
東京都,1955.0,8037084
神奈川県,1955.0,2919497
新潟県,1955.0,2473492
富山県,1955.0,1021121
石川県,1955.0,966187
福井県,1955.0,754055
山梨県,1955.0,807044
長野県,1955.0,2021292
岐阜県,1955.0,1583605
静岡県,1955.0,2650435
愛知県,1955.0,3769209
三重県,1955.0,1485582
滋賀県,1955.0,853734
京都府,1955.0,1935161
大阪府,1955.0,4618308
兵庫県,1955.0,3620947
奈良県,1955.0,776861
和歌山県,1955.0,1006819
鳥取県,1955.0,614259
島根県,1955.0,929066
岡山県,1955.0,1689800
広島県,1955.0,2149044
山口県,1955.0,1609839
徳島県,1955.0,878109
香川県,1955.0,943823
愛媛県,1955.0,1540628
高知県,1955.0,882683
福岡県,1955.0,3859764
佐賀県,1955.0,973749
長崎県,1955.0,1747596
熊本県,1955.0,1895663
大分県,1955.0,1277199
宮崎県,1955.0,1139384
鹿児島県,1955.0,2044112
沖縄県,1955.0,801065
北海道,1960.0,5039206
青森県,1960.0,1426606
岩手県,1960.0,1448517
宮城県,1960.0,1743195
秋田県,1960.0,1335580
山形県,1960.0,1320664
福島県,1960.0,2051137
茨城県,1960.0,2047024
栃木県,1960.0,1513624
群馬県,1960.0,1578476
埼玉県,1960.0,2430871
千葉県,1960.0,2306010
東京都,1960.0,9683802
神奈川県,1960.0,3443176
新潟県,1960.0,2442037
富山県,1960.0,1032614
石川県,1960.0,973418
福井県,1960.0,752696
山梨県,1960.0,782062
長野県,1960.0,1981433
岐阜県,1960.0,1638399
静岡県,1960.0,2756271
愛知県,1960.0,4206313
三重県,1960.0,1485054
滋賀県,1960.0,842695
京都府,1960.0,1993403
大阪府,1960.0,5504746
兵庫県,1960.0,3906487
奈良県,1960.0,781058
和歌山県,1960.0,1002191
鳥取県,1960.0,599135
島根県,1960.0,888886
岡山県,1960.0,1670454
広島県,1960.0,2184043
山口県,1960.0,1602207
徳島県,1960.0,847274
香川県,1960.0,918867
愛媛県,1960.0,1500687
高知県,1960.0,854595
福岡県,1960.0,4006679
佐賀県,1960.0,942874
長崎県,1960.0,1760421
熊本県,1960.0,1856192
大分県,1960.0,1239655
宮崎県,1960.0,1134590
鹿児島県,1960.0,1963104
沖縄県,1960.0,883122
北海道,1965.0,5171800
青森県,1965.0,1416591
岩手県,1965.0,1411118
宮城県,1965.0,1753126
秋田県,1965.0,1279835
山形県,1965.0,1263103
福島県,1965.0,1983754
茨城県,1965.0,2056154
栃木県,1965.0,1521656
群馬県,1965.0,1605584
埼玉県,1965.0,3014983
千葉県,1965.0,2701770
東京都,1965.0,10869244
神奈川県,1965.0,4430743
新潟県,1965.0,2398931
富山県,1965.0,1025465
石川県,1965.0,980499
福井県,1965.0,750557
山梨県,1965.0,763194
長野県,1965.0,1958007
岐阜県,1965.0,1700365
静岡県,1965.0,2912521
愛知県,1965.0,4798653
三重県,1965.0,1514467
滋賀県,1965.0,853385
京都府,1965.0,2102808
大阪府,1965.0,6657189
兵庫県,1965.0,4309944
奈良県,1965.0,825965
和歌山県,1965.0,1026975
鳥取県,1965.0,579853
島根県,1965.0,821620
岡山県,1965.0,1645135
広島県,1965.0,2281146
山口県,1965.0,1543573
徳島県,1965.0,815115
香川県,1965.0,900845
愛媛県,1965.0,1446384
高知県,1965.0,812714
福岡県,1965.0,3964611
佐賀県,1965.0,871885
長崎県,1965.0,1641245
熊本県,1965.0,1770736
大分県,1965.0,1187480
宮崎県,1965.0,1080692
鹿児島県,1965.0,1853541
沖縄県,1965.0,934176
北海道,1970.0,5184287
青森県,1970.0,1427520
岩手県,1970.0,1371383
宮城県,1970.0,1819223
秋田県,1970.0,1241376
山形県,1970.0,1225618
福島県,1970.0,1946077
茨城県,1970.0,2143551
栃木県,1970.0,1580021
群馬県,1970.0,1658909
埼玉県,1970.0,3866472
千葉県,1970.0,3366624
東京都,1970.0,11408071
神奈川県,1970.0,5472247
新潟県,1970.0,2360982
富山県,1970.0,1029695
石川県,1970.0,1002420
福井県,1970.0,744230
山梨県,1970.0,762029
長野県,1970.0,1956917
岐阜県,1970.0,1758954
静岡県,1970.0,3089895
愛知県,1970.0,5386163
三重県,1970.0,1543083
滋賀県,1970.0,889768
京都府,1970.0,2250087
大阪府,1970.0,7620480
兵庫県,1970.0,4667928
奈良県,1970.0,930160
和歌山県,1970.0,1042736
鳥取県,1970.0,568777
島根県,1970.0,773575
岡山県,1970.0,1707026
広島県,1970.0,2436135
山口県,1970.0,1511448
徳島県,1970.0,791111
香川県,1970.0,907897
愛媛県,1970.0,1418124
高知県,1970.0,786882
福岡県,1970.0,4027416
佐賀県,1970.0,838468
長崎県,1970.0,1570245
熊本県,1970.0,1700229
大分県,1970.0,1155566
宮崎県,1970.0,1051105
鹿児島県,1970.0,1729150
沖縄県,1970.0,945111
北海道,1975.0,5338206
青森県,1975.0,1468646
岩手県,1975.0,1385563
宮城県,1975.0,1955267
秋田県,1975.0,1232481
山形県,1975.0,1220302
福島県,1975.0,1970616
茨城県,1975.0,2342198
栃木県,1975.0,1698003
群馬県,1975.0,1756480
埼玉県,1975.0,4821340
千葉県,1975.0,4149147
東京都,1975.0,11673554
神奈川県,1975.0,6397748
新潟県,1975.0,2391938
富山県,1975.0,1070791
石川県,1975.0,1069872
福井県,1975.0,773599
山梨県,1975.0,783050
長野県,1975.0,2017564
岐阜県,1975.0,1867978
静岡県,1975.0,3308799
